0.0	0.0000000
0.5	0.0546044
1.0	0.2768320
1.5	0.5136362
2.0	0.4206796
2.5	0.2133103
3.0	0.5333723
3.5	1.2546211
4.0	1.6765179
4.5	2.1556281
5.0	3.4895899
5.5	4.5388107
6.0	3.5978335
6.5	2.1316656
7.0	2.8908644
7.5	4.8087459
8.0	5.2246277
8.5	5.6273478
9.0	8.2402496
9.5	9.6990021
10.0	6.5566752
10.5	3.1247367
11.0	4.6575744
11.5	8.1277372
12.0	9.0000000
12.5	9.9254215
13.0	13.5385792
13.5	15.2575484
14.0	11.9856997
14.5	8.8971129
15.0	10.2247870
15.5	12.4575401
16.0	12.1907980
16.5	11.6374371
17.0	12.3067070
17.5	11.5858444
18.0	8.4766694
18.5	5.8097591
19.0	5.1320215
19.5	4.8130434
20.0	3.7746881
20.5	2.8583597
21.0	2.4453403
21.5	1.8418240
22.0	0.9131896
22.5	0.2817254
23.0	0.1362973
23.5	0.1031215
24.0	0.0000000
